occupation,count,corrected_occupation
Clerk-Provision Trade,2,Clerk Provision Trade
Contractors Agent,2,Contractors Agent
Telegraph Messenger G P D,2,Telegraph Messenger G P D
Barrack Servant Domestic,2,Barrack Servant Domestic
Farmer's Son and Farmer,2,Farmer's Son and Farmer
Hotel and Shop Keeper,2,Hotel and Shop Keeper
Carriers Carter,2,Carriers Carter
Young Labourer,2,Young Labourer
Machinest at Clothing Factory,2,Machinest at Clothing Factory
Clerk of Pitty Sessions,2,Clerk of Pitty Sessions
"House Keeper, Unemployed",2,"House Keeper, Unemployed"
Artificial Flower Maker,2,Artificial Flower Maker
(Inft),2,Inft
Brewery Director,2,Brewery Director
Own Domestic Work,2,Own Domestic Work
Laundrer,2,Laundrer
Winder (Cotton),2,Winder Cotton
Scoolour,2,Scoolour
Farmer's Dauger,2,Farmer's Dauger
A.R. Postman,2,A.R. Postman
Cabinet Apprentice,2,Cabinet Apprentice
Farmer's Sone,2,Farmer's Sone
Foul Merchant,2,Foul Merchant
Dealer in Soft Good,2,Dealer in Soft Good
Canon and Parish Priest,2,Canon and Parish Priest
Incom Derived from Land and c,2,Incom Derived from Land and c
Merchant Grocer and Hardware,2,Merchant Grocer and Hardware
Linen Factory Employe,2,Linen Factory Employe
Agriculturat Labourer,2,Agriculturat Labourer
Printer-Machine,2,Printer Machine
Hotel Proprioter,2,Hotel Proprioter
Employed in Milk Factory Domestic Servant,2,Employed in Milk Factory Domestic Servant
Weft Office in Factory,2,Weft Office in Factory
Shopkeeper and Land Holder,2,Shopkeeper and Land Holder
Milesman G. S. and W Railway,2,Milesman G. S. and W Railway
Seaman Officer,2,Seaman Officer
Domestic Servant out of employment,2,Domestic Servant out of employment
Publicans Messenger,2,Publicans Messenger
Loan Office,2,Loan Office
Not Able to Receive Inst,2,Not Able to Receive Inst
Steward (Farm),2,Steward Farm
Farmerers Servant,2,Farmerers Servant
Factory Hand Shirt,2,Factory Hand Shirt
Agricuth labouker,2,Agricuth labouker
Lady's Maid Unemployed,2,Lady's Maid Unemployed
Merner,2,Merner
Grocery and Hardware Business,2,Grocery and Hardware Business
Sailor Pilot,2,Sailor Pilot
Assisting Houskeeping,2,Assisting Houskeeping
National Teacher and Civil Service Tutor,2,National Teacher and Civil Service Tutor
Constable of R. I. Constabulary,2,Constable of R. I. Constabulary
Farmer and Cooker,2,Farmer and Cooker
Millinier,2,Millinier
Deress Maker,2,Deress Maker
Foundry Hand,2,Foundry Hand
Book Foalder,2,Book Foalder
Chanler,2,Chanler
Land Agent and J. P.,2,Land Agent and J. P.
Grocers Assistant (Unemployed),2,Grocers Assistant Unemployed
Packer in Wine Store,2,Packer in Wine Store
In Door Servant,2,In Door Servant
Boot and Shoe Cutter,2,Boot and Shoe Cutter
House keeper Domestic Servant,2,House keeper Domestic Servant
Machinst in Factory,2,Machinst in Factory
Retired Carrier,2,Retired Carrier
Iron Mongers Clerk,2,Iron Mongers Clerk
Labr Unemployed,2,Labr Unemployed
Agents Assistant,2,Agents Assistant
Retired Domestic General Servant,2,Retired Domestic General Servant
Wife Farmer's,2,Wife Farmer's
Coach Man D. Servant,2,Coach Man D. Servant
Not Tending School,2,Not Tending School
Methodist Chool,2,Methodist Chool
Saddler and Hardware Mct,2,Saddler and Hardware Mct
General Cleaner,2,General Cleaner
Brewers Store Keeper,2,Brewers Store Keeper
Plumer Apprentice,2,Plumer Apprentice
Assists in House Work,2,Assists in House Work
Reeler Flax in Mill,2,Reeler Flax in Mill
Linnen Smother,2,Linnen Smother
"Spinner, in Sping Mill",2,"Spinner, in Sping Mill"
Builder (Retired),2,Builder Retired
Stitcher Linen Factory,2,Stitcher Linen Factory
Knit and Sow,2,Knit and Sow
Clerk Brewens,2,Clerk Brewens
Labourer-Jaroy,2,Labourer Jaroy
Labourer Brevrey Man,2,Labourer Brevrey Man
Retired Pork Butcher,2,Retired Pork Butcher
Labrourers Son,2,Labrourers Son
Shoole Girl,2,Shoole Girl
Plastered,2,Plastered
Fruit Vindor,2,Fruit Vindor
Labours Farmer's Sons,2,Labours Farmer's Sons
? Polisher,2,? Polisher
Gl. Labour,2,Gl. Labour
Clerk to Produce Merchant,2,Clerk to Produce Merchant
Ap Dressmaking,2,Ap Dressmaking
Margarine Maker,2,Margarine Maker
Naval Reserve Man,2,Naval Reserve Man
Marker in Shipyard,2,Marker in Shipyard
Labourer in Sawmills,2,Labourer in Sawmills
Restaurant Attendant,2,Restaurant Attendant
Dom Servant (Cook),2,Dom Servant Cook
Resterant Keeper,2,Resterant Keeper
Agl Lauborer,2,Agl Lauborer
Pawn-Broker,2,Pawn Broker
Ordinary Farm Servant,2,Ordinary Farm Servant
Agricultural Labourer Worker,2,Agricultural Labourer Worker
Engine Driver at Mill,2,Engine Driver at Mill
Private R. I Rifles Soldier,2,Private R. I Rifles Soldier
Housekeeper and Book Keeper,2,Housekeeper and Book Keeper
Cabenetmaker,2,Cabenetmaker
Mill Store Keeper,2,Mill Store Keeper
Labourer Builders Yard,2,Labourer Builders Yard
Tobacco,2,Tobacco
Stationery Sales,2,Stationery Sales
F Pollisher,2,F Pollisher
Quay and River Watchman,2,Quay and River Watchman
Scolaar,2,Scolaar
Teacher in N.S.,2,Teacher in N.S.
Set Boy in Flax Spg Mill,2,Set Boy in Flax Spg Mill
Coachman domestic servant,2,Coachman domestic servant
Boot Make,2,Boot Make
D. M Police Pensioner,2,D. M Police Pensioner
Folder in Linen Wareroom,2,Folder in Linen Wareroom
Signalman G N R,2,Signalman G N R
Ormentor of Linen,2,Ormentor of Linen
Daughter of Domestic Servant,2,Daughter of Domestic Servant
Farmer's G-Son,2,Farmer's G Son
Retired Drapers,2,Retired Drapers
Household Property,2,Household Property
Engineering Machinist,2,Engineering Machinist
Billiard Room Keeper,2,Billiard Room Keeper
Teacher of Nat Sch,2,Teacher of Nat Sch
Reeler Linen Thread,2,Reeler Linen Thread
Box Folder Linen Warehouse,2,Box Folder Linen Warehouse
Carptern,2,Carptern
Licenced Grocer,2,Licenced Grocer
Dividents and Annuities,2,Dividents and Annuities
Clerk to Publican,2,Clerk to Publican
Embroirer,2,Embroirer
L Nurse,2,L Nurse
Lander Proprietor,2,Lander Proprietor
General Carrier and Cow Keeper,2,General Carrier and Cow Keeper
Labourer Distellery,2,Labourer Distellery
With Husband,2,With Husband
Housekeeper for Son,2,Housekeeper for Son
Labourer Warehouse Man,2,Labourer Warehouse Man
Plumber - Master,2,Plumber Master
Church Embiorder,2,Church Embiorder
Junior Assistant,2,Junior Assistant
Tailor Journey Men,2,Tailor Journey Men
Wool Weaver's Son,2,Wool Weaver's Son
Accountant in Undertakers Office,2,Accountant in Undertakers Office
Labourer Egg Packer,2,Labourer Egg Packer
Living on Relief from Listowel Union,2,Living on Relief from Listowel Union
Asst. Telegraphist,2,Asst. Telegraphist
Engineer Post Office Telegraphs,2,Engineer Post Office Telegraphs
Mat and Brush Maker,2,Mat and Brush Maker
Stone Mason (Railway),2,Stone Mason Railway
Unemployed General Domestic,2,Unemployed General Domestic
Slater and Plastrer,2,Slater and Plastrer
Agricultural Labourer Scutcher,2,Agricultural Labourer Scutcher
Drawn Work,2,Drawn Work
Dressmaker Unimployed,2,Dressmaker Unimployed
General Labourer Factory Hand,2,General Labourer Factory Hand
Childrens Maid-Domestic Servt,2,Childrens Maid Domestic Servt
Harness Maker (Master),2,Harness Maker Master
Law-Clerk,2,Law Clerk
Teacher of Ordinary National School,2,Teacher of Ordinary National School
Cigarettes Maker,2,Cigarettes Maker
Factory Worker (Linen Yarn),2,Factory Worker Linen Yarn
Launduress,2,Launduress
At Shoolar,2,At Shoolar
Chorewoman,2,Chorewoman
Clerk Wine Merchants,2,Clerk Wine Merchants
Under Clothing Factory,2,Under Clothing Factory
Rover in Flax Factory,2,Rover in Flax Factory
Winder Yarn Unemployed,2,Winder Yarn Unemployed
Grocers-Porter,2,Grocer's Porter
Groom of Horses Domestic Servant,2,Groom of Horses Domestic Servant
Boatman G C Compy,2,Boatman G C Compy
Student Under Graduate,2,Student Under Graduate
Parlour Maid Domestic Servant Unemployed,2,Parlour Maid Domestic Servant Unemployed
Soliator,2,Soliator
Rig Dealer,2,Rig Dealer
Pensioner R I Const,2,Pensioner R I Const
Commercial Drapers Clerk,2,Commercial Drapers Clerk
Minister of Reformed Presbyterian Church,2,Minister of Reformed Presbyterian Church
Turner Out Shirt Factory,2,Turner Out Shirt Factory
Clerk in Holy Orders Rector,2,Clerk in Holy Orders Rector
ShopKeeper-Grocer,2,ShopKeeper Grocer
Fisherboy,2,Fisherboy
General Delar,2,General Delar
Porter in Drapery Establishment,2,Porter in Drapery Establishment
Shopkeeper and Brick and Tile Manufacturer,2,Shopkeeper and Brick and Tile Manufacturer
Turner out in Shirt Factory,2,Turner out in Shirt Factory
Manager Brick Works,2,Manager Brick Works
Grazier Wife,2,Grazier Wife
Mother and House Keeper,2,Mother and House Keeper
Vitcuelar,2,Vitcuelar
Apprentice to Trade,2,Apprentice to Trade
Thread Spooler in Factory,2,Thread Spooler in Factory
Publians Shop Girl,2,Publians Shop Girl
Labourer-Agril,2,Labourer Agril
Colleiry Miner,2,Colleiry Miner
Cattle-Dealer and Farmers Son,2,Cattle Dealer and Farmers Son
Waver by Trade,2,Waver by Trade
Steward of Land,2,Steward of Land
Sergant R. I. C,2,Sergant R. I. C
Fish-wife,2,Fish wife
Acculter Labourer,2,Acculter Labourer
Solicitor in Practin,2,Solicitor in Practin
Work Man Farm Labourer,2,Work Man Farm Labourer
Hand Kerchief Weaver,2,Hand Kerchief Weaver
Victuliar,2,Victuliar
Flax Hackling Master,2,Flax Hackling Master
Private Wife 18th R I Regt,2,Private Wife 18th R I Regt
Clothiers Apprentice,2,Clothiers Apprentice
Bar Manageress,2,Bar Manageress
Workman (Gen),2,Workman Gen
Weeder Farm Servant,2,Weeder Farm Servant
Labrour in General,2,Labrour in General
Dealer in Grocery,2,Dealer in Grocery
G.P.O Lineman,2,G.P.O Lineman
Shop Keeper (Grocer and Hardware),2,Shop Keeper Grocer and Hardware
Baker and Grocer Master,2,Baker and Grocer Master
Gen. Merchant,2,Gen. Merchant
Dris Maker,2,Dris Maker
Domestic Dairy Maid,2,Domestic Dairy Maid
Mechanic and Fitter,2,Mechanic and Fitter
H M Coast Guard,2,H M Coast Guard
Assistant to Surveyor,2,Assistant to Surveyor
Domestic Sert Housekeeper,2,Domestic Sert Housekeeper
Worker in Dairy,2,Worker in Dairy
Ex Sergt R I C on Pension,2,Ex Sergt R I C on Pension
Ballad Linger,2,Ballad Linger
Packing Lace Maker,2,Packing Lace Maker
Casetaker,2,Casetaker
Electric Motorman,2,Electric Motorman
Wholesale Fruit Trade,2,Wholesale Fruit Trade
Bleacher's Labourer,2,Bleacher's Labourer
Dealer Bag Trade,2,Dealer Bag Trade
Winder in (Linen Factory),2,Winder in Linen Factory
Unprofessed Religions,2,Unprofessed Religions
Tobacco Factory Employee,2,Tobacco Factory Employee
Car Cab Owner,2,Car Cab Owner
Draper and News Agent,2,Draper and News Agent
Second Division Clerk (Civil Service),2,Second Division Clerk Civil Service
Domestic Servant of Room,2,Domestic Servant of Room
Son of Servant,2,Son of Servant
Butchs,2,Butchs
Landholder Daughter,2,Landholder Daughter
Newspaper Machinist,2,Newspaper Machinist
Civil Servant Clerk Postal Telegraphs,2,Civil Servant Clerk Postal Telegraphs
Milk Factor,2,Milk Factor
Bootmaster,2,Bootmaster
Stoker in Gasworks,2,Stoker in Gasworks
General Servant Unemployed Domestic,2,General Servant Unemployed Domestic
Shop Girl Hosiery,2,Shop Girl Hosiery
Asst at House and Farm Work,2,Asst at House and Farm Work
Shopkeeper Grocer and Draper,2,Shopkeeper Grocer and Draper
Master Lightship,2,Master Lightship
Agricultie Labour,2,Agricultie Labour
Auxilliary Postman,2,Auxilliary Postman
Retired Head Con. R.I.C.,2,Retired Head Con. R.I.C.
Farmers Dauglter,2,Farmers Dauglter
Retired Bacon Merchant,2,Retired Bacon Merchant
Licensed Publican Trader,2,Licensed Publican Trader
Assistant Trapper,2,Assistant Trapper
Farmer and Publican's Sister,2,Farmer and Publican's Sister
Holder on in Shipyard,2,Holder on in Shipyard
Seanstess,2,Seanstess
Assistant to Hd of Family,2,Assistant to Hd of Family
Grocer and Co,2,Grocer and Co
Under Age for School,2,Under Age for School
Farmer and C Postmaster,2,Farmer and C Postmaster
Journey-Man Tailor,2,Journey Man Tailor
Howl Dealer,2,Howl Dealer
Socholars,2,Socholars
Farm Ser,2,Farm Ser
Drapery-Assistant,2,Drapery Assistant
Electrician Unemployed,2,Electrician Unemployed
Ex R I Constabuly,2,Ex R I Constabuly
Schoolar R I A M,2,Schoolar R I A M
Manufacturers Dyer,2,Manufacturers Dyer
Clerk Flour Store,2,Clerk Flour Store
Killman,2,Killman
Nurse Domestic Unemployed,2,Nurse Domestic Unemployed
House Keeper Soldiers Wife,2,House Keeper Soldiers Wife
Dining Room Proprietor,2,Dining Room Proprietor
Unemployed Baker,2,Unemployed Baker
Confectinor,2,Confectinor
Maid. Domestic Servant,2,Maid. Domestic Servant
Labourer Dray Driver,2,Labourer Dray Driver
Clerk in Ironworks,2,Clerk in Ironworks
Roman Catholic Clergy Man,2,Roman Catholic Clergy Man
Coach Painter at Works,2,Coach Painter at Works
Window Dresser,2,Window Dresser
Stationers Shop,2,Stationers Shop
Grocer Wine and spirit merchant,2,Grocer Wine and spirit merchant
Owner of Landed Property,2,Owner of Landed Property
Laides Tailor,2,Laides Tailor
General Garden Labourer,2,General Garden Labourer
House Property Landlady,2,House Property Landlady
Coul Emloyment and Dealer,2,Coul Emloyment and Dealer
Master of WKman,2,Master of WKman
Apprentice Sorter,2,Apprentice Sorter
Agriculutural Labourer,2,Agriculutural Labourer
Pensioner R. N,2,Pensioner R. N
Washe Woman,2,Washe Woman
Genearl Servant,2,Genearl Servant
Ladysmaid Domestic Servt,2,Ladysmaid Domestic Servt
Genl. Svt. Dom. Unemployed,2,Genl. Svt. Dom. Unemployed
Car and Write,2,Car and Write
Clerk at Steamship Coy,2,Clerk at Steamship Coy
Rural Post Deliverer,2,Rural Post Deliverer
Coachman-Dom. Servt,2,Coachman Dom. Servt
Dont Work,2,Dont Work
Genl Labouer,2,Genl Labouer
Professional Fisherman,2,Professional Fisherman
Miner (Copper),2,Miner Copper
Showman's Son,2,Showman's Son
No Trade or Profession-Both Living on Interest of Money and Rents of Houses,2,No Trade or Profession Both Living on Interest of Money and Rents of Houses
Agricultural Labourer Workman,2,Agricultural Labourer Workman
Const. R I Constabulary,2,Const. R I Constabulary
Painter - Compositor,2,Painter Compositor
Tobbaco Factory,2,Tobbaco Factory
Accountant and C,2,Accountant and C
Hosiery Presser,2,Hosiery Presser
Workhouse Nurse Domest Servt,2,Workhouse Nurse Domest Servt
Public Auditor,2,Public Auditor
Playing in House,2,Playing in House
Farm Labores,2,Farm Labores
Retd. Captn R H,2,Retd. Captn R H
House Keeper Domc-Servt,2,House Keeper Domc Servt
Bank Portor,2,Bank Portor
Land Helper,2,Land Helper
Platers-Helper Labourer,2,Platers Helper Labourer
Victuoler,2,Victuoler
Tweed Presser,2,Tweed Presser
Ironmonger Asst,2,Ironmonger Asst
Messenger Butcher's,2,Messenger Butcher's
Not Get at School,2,Not Get at School
Messenger Linen,2,Messenger Linen
Platers Helper Labourer,2,Platers Helper Labourer
Summon's Server,2,Summon's Server
Store Keeper in Shipyard,2,Store Keeper in Shipyard
Ploughman-Domestic Servant,2,Ploughman Domestic Servant
Shopman Tobacconist,2,Shopman Tobacconist
Mineral Water Labouer,2,Mineral Water Labouer
Lady's Maid Domestic St.,2,Lady's Maid Domestic St.
"General Servant,-Domestic",2,General Domestic Servant
Labourer in Linen Dye Works,2,Labourer in Linen Dye Works
Barmaid Servant,2,Barmaid Servant
Seafarer,2,Seafarer
Rent and Insurance Agent,2,Rent and Insurance Agent
Gunsmith Machanic,2,Gunsmith Machanic
Carder in Sping Mill,2,Carder in Sping Mill
Scholar Twines,2,Scholar Twines
Provision Messenger,2,Provision Messenger
Frame Girl in Dye and Bleach Works,2,Frame Girl in Dye and Bleach Works
"Laundress, (Washer)",2,"Laundress, Washer"
Appr Painter,2,Appr Painter
Uphosteress,2,Uphosteress
Orobationer,2,Orobationer
Iron Grinder,2,Iron Grinder
Oiler in Linen Mill,2,Oiler in Linen Mill
Daughter of Baronet,2,Daughter of Baronet
Mothers help,2,Mothers help
C. Traveller (Spirits),2,C. Traveller Spirits
Incomes Derived from House Property and Ground Rents,2,Incomes Derived from House Property and Ground Rents
Justice of Peace Land Agent,2,Justice of Peace Land Agent
B Engings,2,B Engings
Sergeant Army,2,Sergeant Army
House Wife-Domestic,2,House Wife Domestic
Linen Drawing,2,Linen Drawing
Up Holsteress,2,Up Holsteress
Straw Bonnet Maker and Miliner,2,Straw Bonnet Maker and Miliner
Inland From Dividead,2,Inland From Dividead
Engineer Fitter Ship-Yard,2,Engineer Fitter Ship Yard
Flower Merchant,2,Flower Merchant
Bannet Maker,2,Bannet Maker
Schouler,2,Schouler
Matron Unemployed,2,Matron Unemployed
"Weaver, Linnen",2,"Weaver, Linnen"
Stone Quarryman,2,Stone Quarryman
Master Plumber and Gasfitter,2,Master Plumber and Gasfitter
Assistant in Provision Merchant Shop,2,Assistant in Provision Merchant Shop
Apprentice to Spirit and Grocry,2,Apprentice to Spirit and Grocry
Forester Domestic Servant,2,Forester Domestic Servant
Carpenter Carpterner,2,Carpenter Carpterner
Railway Shareholder,2,Railway Shareholder
School Teacher-Unemployed,2,School Teacher Unemployed
Railway-Servant,2,Railway Servant
S C and T Postoffice,2,S C and T Postoffice
Blacksmith's Assistant,2,Blacksmith's Assistant
Twister Rope Works,2,Twister Rope Works
Power Loom-Tenter,2,Power Loom Tenter
Cook Domest S,2,Cook Domest S
Messenger's,2,Messenger's
Widow of Officer Seaforth Highlanders,2,Widow of Officer Seaforth Highlanders
Domestic General Labourerr,2,Domestic General Labourerr
Spirit and Grocer Dealer,2,Spirit and Grocer Dealer
Dividens Intrest of Money,2,Dividens Intrest of Money
Bag Merchant,2,Bag Merchant
Housekeeper Domestic Sevt,2,Housekeeper Domestic Sevt
Charted Accountant,2,Charted Accountant
Farmers Daghtr,2,Farmers Daghtr
General House Hold work,2,General House Hold work
Engine Driver M G W R,2,Engine Driver M G W R
Staff Drunner,2,Staff Drunner
Midwifrey Nurse,2,Midwifrey Nurse
Bettler in Linen Works,2,Bettler in Linen Works
Dye Works Manager,2,Dye Works Manager
Dairy maid Domestic,2,Dairy maid Domestic
Head of Family Farmer,2,Head of Family Farmer
Farmers Ser,2,Farmers Ser
Sop Assistant,2,Sop Assistant
Post Man G.P.O,2,Post Man G.P.O
Cook Man Domestic Servant,2,Cook Man Domestic Servant
Butter Domestic Servt,2,Butter Domestic Servt
Annuities From America,2,Annuities From America
No Scholar to Young,2,No Scholar to Young
Farmer Steward,2,Farmer Steward
Railwy Miles Man,2,Railwy Miles Man
Privates,2,Privates
Dgtr Instrcr at Home,2,Dgtr Instrcr at Home
Coachman Do Servant,2,Coachman Do Servant
Crocher Works,2,Crocher Works
Farmer Agricultural,2,Farmer Agricultural
General Servant-Domestic-Unemployed,2,General Servant Domestic Unemployed
Ireland Revenue Officers,2,Ireland Revenue Officers
Retired General Servt,2,Retired General Servt
Agricultural Labourer General,2,General Agricultural Labourer
Drapery and Boot Shop,2,Drapery and Boot Shop
Caretaker Farm Labourer,2,Caretaker Farm Labourer
Flax Spinner Spinning Room,2,Flax Spinner Spinning Room
Damask Weaver Employed,2,Damask Weaver Employed
Bank Official Cashier,2,Bank Official Cashier
Landary,2,Landary
Officers Daughter Switsers Home Annuitant,2,Officers Daughter Switsers Home Annuitant
Croch a Worker,2,Croch a Worker
Emploied at Home,2,Emploied at Home
Mill Laborer,2,Mill Laborer
Butcher by Trade,2,Butcher by Trade
Tax Collector,2,Tax Collector
Loom Tenter in Linen Factory,2,Loom Tenter in Linen Factory
